RD_WRITE_DT,RD_RATING,RD_ITEM_NM,RD_CONTENT,PRODUCT_TITLE
20230826,5,,루즈하구 하늘하늘해서 여리여리한 핏입니다! 스커트나 팬츠 어디든 연출하기 좋구 콩단추조차도 러블리 그 잡채 '-'👍,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230616,3,,다 좋은데 컬러가 실물보다 어두운 베이지에요.반품고민하다 디쟌이 이뻐서 겟합니다.후기사진이나 화면에서 보이는데로 약간 밝은 베이지였음 얼굴이 더 살듯요~,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230705,5,,원하던 스타일이에요. 만족합니다.,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230614,4,,컬러랑 소재가 어울릴까 싶었는데 괜찮네요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230617,5,,색상이 넘 이쁘고 마음에 들어요 구김은 조금 가네요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230529,5,,여리여리허고 예뻐요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230501,3,,좋아하는 스타일인데 제 몸에 잘어울리는 스타잏은 아니예여 ㅜㅜ 그래도 고급스러워요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230504,5,,넘넘 고급스럽고 온앤온 괜찮네요 한번도 구매해본적 없는데 온앤온에서 블라우스2개 구입했는데 다 만족했습니다 앞으로도 이용 많이할께요 감사합니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230428,5,,블루는 55사고 베이진 66구입 둘 다 맘에 들어요.66이 좀 더 뽕이 살아나서 유니크하네요.,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230529,4,,컬러도 도튿하고 다들 이쁘다고 합니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230419,5,,타이 블라우스 예쁩니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230329,4,,이뻐요.가슴 파인 좀 있어요 스카프같은 끈 떨어져서왔어요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230409,5,,브랜드옷이라 입는게더예뻐요. 은은한펄감 원단이라 반사판을댄듯 예뻐요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230429,5,,귀여워여 굿궁굿 굿굿,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230301,5,,핏 예술이예요. 저는 청바지랑 트위드자켓이랑 매치했는데 진짜 예쁘네요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230228,5,,고급스러워보이고 부들부들 하네요 마음에 듭니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230220,5,,"청바지, 슬랙스 다 어울려요, 타이 묶는것보다 풀고잇는게 더 예뻐보입니다. 개인적으로 넘 좋아하는 소라색이라…",[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230303,4,,봄에입기에좋고 자켓안에입어도 좋을꺼같아서 구매했어요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20230222,5,,마음에 들어요 소재도 좋아요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
