RD_WRITE_DT,RD_RATING,RD_ITEM_NM,RD_CONTENT,RD_OPTION_SIZE,RD_OPTION_COLOR,RD_REVIEWER_INFO,RD_REVIEW_IMAGES,PRODUCT_TITLE
20240906,4,COLOR: BLUE / SIZE: 66,덩치있는 저는 거 덩치있어보이지믄 옷은 좋습니다,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240830,4,COLOR: BLUE / SIZE: 66체형166cm58kg상의 M보통 어깨팔이 긴 편사이즈약간 커요 (가슴)핏오버핏이에요착용감편해요,광택이 있어서 고급스러워요. 좀 오버핏이네여. 한사이즈 작았음 좋았을듯해요.,약간 커요 (가슴),,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240829,5,COLOR: BLUE / SIZE: 55,"오늘 입었는데 이뿌네요 색상도 이쁘고,정사이즈에 재질도 좋아요 고민하시는분들 사셔도 좋을듯해요",잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240824,5,COLOR: IVORY / SIZE: 55,역시 온앤온은 후회없음. 가격 때문에 비슷한 디자인의 다른 브랜드에서 사려다가 소재나 핏이 더 마음에 들어서 살짝 고민하다 결국 주문했음. 스커트에 입으니 너무 예뻐서 빨리 입고나가고 싶음!!! 🫣 고민하다가 품절됩니다 여러분,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240824,3,COLOR: IVORY / SIZE: 66,소재는 좋았지만 박음질이 엉망인곳이 있어요ㅠ,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240823,5,COLOR: BLUE / SIZE: 55,핏도이쁘고 질도조아요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240619,5,COLOR: BLUE / SIZE: 55,예쁘고 분위기나는옷입니다 여성스러워요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240609,4,COLOR: IVORY / SIZE: 55,여리여리해보여요~~,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240602,5,COLOR: BLACK / SIZE: 55,"흰색 구매 후, 너~무 맘에 들어서 블랙 재구매했습니다! ^^",잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240530,5,COLOR: BLUE / SIZE: 55,우선 색이 너무 이쁘고 소재도 좋습니다!,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
